,id,Popular_Sum,Date
1211,958937357884973057,9005,2018-02-01
1212,959039217010491392,35428,2018-02-01
1213,959041727758614528,1024,2018-02-01
1214,959282790599557120,739,2018-02-02
1215,959475866785820674,357,2018-02-02
1216,959481246710550528,565,2018-02-02
1217,959482581451329536,1718,2018-02-02
1218,959555569953660928,458848,2018-02-02
1219,959585626071842817,124744,2018-02-03
1220,959632581456113664,109452,2018-02-03
1221,959902950964453376,72248,2018-02-03
1222,960196781081415680,2674,2018-02-04
1223,960233035516932096,36566,2018-02-04
1224,960310814908526594,20512,2018-02-05
1225,960366295362494464,51188,2018-02-05
1226,960366347971592192,16103,2018-02-05
1227,960390661211021312,18272,2018-02-05
1228,960400928225546241,89131,2018-02-05
1229,960401102465269760,44926,2018-02-05
1230,960550111632875525,23560,2018-02-05
1231,960579820487954432,72069,2018-02-05
1232,960589757519663105,34921,2018-02-05
1233,960905835118505984,39393,2018-02-06
1234,960914210397085696,32467,2018-02-06
1235,960915618865274880,110821,2018-02-06
1236,960921700153135104,37999,2018-02-06
1237,960949244982018049,70621,2018-02-06
1238,960975644644593664,52023,2018-02-06
1239,960982935175245824,75651,2018-02-06
1240,960987195531198466,34017,2018-02-06
1241,960988527159795712,121810,2018-02-06
1242,960992715579125760,652918,2018-02-06
1243,960994034960416768,99266,2018-02-06
1244,960998900243902466,230055,2018-02-06
1245,961006748214718466,90957,2018-02-06
1246,961025203382841344,23981,2018-02-06
1247,961036779498418178,9581,2018-02-07
1248,961070013108060160,7583,2018-02-07
1249,961070320106041346,37632,2018-02-07
1250,961079361234497537,51096,2018-02-07
1251,961083704230674438,230442,2018-02-07
1252,961359174230773765,129762,2018-02-07
1253,962735351713411072,66216,2018-02-11
1254,962750602223566848,65980,2018-02-11
1255,962805302927257600,41305,2018-02-11
1256,963076231921938432,1867,2018-02-12
1257,963087975004319746,879,2018-02-12
1258,963090657119055872,841,2018-02-12
1259,963092110994886656,2081,2018-02-12
1260,963092560867504128,1152,2018-02-12
1261,963093040100384769,490,2018-02-12
1262,963094533830426624,870,2018-02-12
1263,963095860060934144,1433,2018-02-12
1264,963102131421982721,1258,2018-02-12
1265,963103592881168384,1989,2018-02-12
1266,963104452767924224,598,2018-02-12
1267,963104633639002112,1063,2018-02-12
1268,963107229523038211,1640,2018-02-12
1269,963145162397396992,1294,2018-02-12
1270,964296857395478529,16376,2018-02-16
1271,964751491885076480,44528,2018-02-17
1272,964866320197038080,12288,2018-02-17
1273,965297598054637568,79980,2018-02-18
1274,965769366422798337,76941,2018-02-20
1275,966296921370386432,879,2018-02-21
1276,966298034978959361,85429,2018-02-21
1277,966313683633623041,18270,2018-02-21
1278,966379138947809280,667,2018-02-21
1279,966418678160924672,25756,2018-02-21
1280,966419298049703936,436,2018-02-21
1281,966602470431473664,1375,2018-02-22
1282,966627437458026497,22843,2018-02-22
1283,966676057784020992,23559,2018-02-22
1284,966682218411143169,38365,2018-02-22
1285,966682281443143680,4862,2018-02-22
1286,966692641533390848,22787,2018-02-22
1287,966694661480841217,785,2018-02-22
1288,966695975132610560,978,2018-02-22
1289,966698367173693440,14071,2018-02-22
1290,966703261699854336,49730,2018-02-22
1291,966706193560305664,49030,2018-02-22
1292,966706924124188672,60327,2018-02-22
1293,966707038095986688,40193,2018-02-22
1294,966707388181970944,5445,2018-02-22
1295,967238120709152770,2673,2018-02-24
1296,967238527418167296,17886,2018-02-24
1297,967238652685303809,1170,2018-02-24
1298,967712110661615616,9827,2018-02-25
1299,967728299282595840,1876,2018-02-25
1300,968560525088055296,20943,2018-02-27
1301,968563317810847744,690,2018-02-27
1302,968608879914270721,53685,2018-02-27
1303,968609334203576320,9409,2018-02-27
1304,968609579197022208,10285,2018-02-27
1305,968611860407713793,19465,2018-02-27
1306,968614419784613888,14657,2018-02-27
1307,968707151815376897,882,2018-02-28
1308,970067019012784128,41793,2018-03-03
1309,970088614183845888,8771,2018-03-04
1310,970096186806878208,662,2018-03-04
1311,970099121599074304,687,2018-03-04
1312,970192640913301504,9693,2018-03-04
